ori_tissue,ori_cell_type
"liver, spleen",γδ t
"liver, spleen",γδ t
"liver, spleen",γδ t
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"liver, spleen",ilc trnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"blood, spleen, liver",ilc cnk
"spleen, liver",ilc
"spleen, liver",ilc
"spleen, liver",ilc
"spleen, liver",ilc
"spleen, liver",ilc
"spleen, liver",ilc
"spleen, liver",ilc
"spleen, liver",ilc
"spleen, liver",ilc
"spleen, liver",ilc
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"liver, spleen",cycling nk & t
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"blood, spleen, liver",myeloid cells cd14+ mo
"liver, spleen",myeloid cells tissue-cd14+ mo
"liver, spleen",myeloid cells tissue-cd14+ mo
"liver, spleen",myeloid cells tissue-cd14+ mo
"liver, spleen",myeloid cells tissue-cd14+ mo
"liver, spleen",myeloid cells tissue-cd14+ mo
"liver, spleen",myeloid cells tissue-cd14+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"blood, spleen, liver",myeloid cells cd16+ mo
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"liver, spleen",myeloid cells macrophage
"blood, spleen",megakaryocyte
"blood, spleen",megakaryocyte
"blood, spleen",megakaryocyte
"blood, spleen",megakaryocyte
"blood, spleen",megakaryocyte
"blood, spleen",megakaryocyte
"blood, spleen",megakaryocyte
"blood, spleen",megakaryocyte
"blood, spleen",megakaryocyte
"blood, spleen",megakaryocyte
"spleen, liver",cdc1
"spleen, liver",cdc1
"spleen, liver",cdc1
"blood, spleen, liver",pdc
"blood, spleen, liver",pdc
"blood, spleen, liver",pdc
"blood, spleen, liver",pdc
"blood, spleen, liver",pdc
"spleen, liver",b cells
"spleen, liver",b cells
"spleen, liver",b cells
"spleen, liver",b cells
"spleen, liver",b cells
"spleen, liver",b cells
"spleen, liver",b cells
"spleen, liver",b cells
"spleen, liver",b cells
"blood, spleen, liver",naïve b
"blood, spleen, liver",naïve b
"blood, spleen, liver",naïve b
"blood, spleen, liver",naïve b
"blood, spleen, liver",naïve b
"blood, spleen, liver",naïve b
"blood, spleen, liver",naïve b
"blood, spleen, liver",naïve b
spleen,mzb
spleen,mzb
spleen,mzb
spleen,mzb
spleen,mzb
spleen,mzb
spleen,mzb
spleen,mzb
spleen,mzb
"blood, spleen, liver",cmbc
"blood, spleen, liver",cmbc
"blood, spleen, liver",cmbc
"blood, spleen, liver",cmbc
"blood, spleen, liver",cmbc
"blood, spleen, liver",cmbc
"blood, spleen, liver",cmbc
"spleen, liver",cd11c+ abc
"spleen, liver",cd11c+ abc
"spleen, liver",cd11c+ abc
"spleen, liver",cd11c+ abc
"spleen, liver",cd11c+ abc
"spleen, liver",cd11c+ abc
"spleen, liver",cd11c+ abc
"spleen, liver",cd11c+ abc
"spleen, liver",gcb
"spleen, liver",gcb
"spleen, liver",gcb
"spleen, liver",gcb
"spleen, liver",gcb
"spleen, liver",gcb
"spleen, liver",gcb
"spleen, liver",gcb
"spleen, liver",gcb
"spleen, liver",gcb
"spleen, liver",isg+ b
"spleen, liver",isg+ b
"spleen, liver",isg+ b
"spleen, liver",isg+ b
"spleen, liver",isg+ b
"spleen, liver",isg+ b
"spleen, liver",isg+ b
"spleen, liver",isg+ b
"spleen, liver",isg+ b
"spleen, liver",isg+ b
"spleen, liver",zbtb32+ b
"spleen, liver",zbtb32+ b
"spleen, liver",zbtb32+ b
"spleen, liver",zbtb32+ b
"spleen, liver",zbtb32+ b
"spleen, liver",zbtb32+ b
"spleen, liver",zbtb32+ b
"spleen, liver",zbtb32+ b
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"spleen, liver",plasma cells
"blood, spleen, liver",pb
"blood, spleen, liver",pb
"blood, spleen, liver",pb
"blood, spleen, liver",pb
"blood, spleen, liver",c3-pc
"blood, spleen, liver",c3-pc
"blood, spleen, liver",c3-pc
"blood, spleen, liver",c3-pc
"blood, spleen, liver",c3-pc
"blood, spleen, liver",c3-pc
"blood, spleen, liver",c3-pc
"blood, spleen, liver",c3-pc
"blood, spleen, liver",c3-pc
"spleen, liver",c4-pc
"spleen, liver",c4-pc
"spleen, liver",c4-pc
"spleen, liver",c4-pc
blood,classical cd14++ monocytes (m1)
blood,non-classical cd16++ (fcgr3a) cd14-/+ monocytes (m2)
blood,intermediate cd14++ cd16+ monocytes (m3)
blood,intermediate cd14++ cd16+ monocytes (m3)
blood,cd1c+ cdc2 (m4)
blood,clec9a+ cdc1 (m5)
blood,pdc (clec4c+cd123+) (m6)
blood,pdc (clec4c+cd123+) (m6)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,classical cd14++ inﬂammatory monocytes (m1)
blood,cd56+cd16− nk cells (nk1)
blood,cd56+cd16− nk cells (nk1)
blood,cd56−cd16+ nk cells (nk2)
blood,cd56−cd16+ nk cells (nk2)
blood,cd4+ t cells
blood,cd4+ t cells
blood,naïve cd4+ t cells (t1)
blood,naïve cd4+ t cells (t1)
blood,naïve cd4+ t cells (t1)
blood,"central memory cd4+ t cells (t2, cd4 tcm)"
blood,"central memory cd4+ t cells (t2, cd4 tcm)"
blood,"central memory cd4+ t cells (t2, cd4 tcm)"
blood,"effector memory cd4+ t cells (t3, cd4 tem)"
blood,"effector memory cd4+ t cells (t3, cd4 tem)"
blood,"effector memory cd4+ t cells (t3, cd4 tem)"
blood,"effector memory cd4+ t cells (t3, cd4 tem)"
blood,"regulatory t cells (t4, treg)"
blood,cd8+ t cells
blood,cd8+ t cells
blood,naïve cd8+ t cells (t5)
blood,naïve cd8+ t cells (t5)
blood,naïve cd8+ t cells (t5)
blood,"effector memory cd8+ t cells (t6, cd8 tm)"
blood,cytotoxic cd8+ lymphocytes (cd8+ ctl) (t7)
blood,cytotoxic cd8+ lymphocytes (cd8+ ctl) (t7)
blood,cytotoxic cd8+ lymphocytes (cd8+ ctl) (t7)
blood,"proliferating t cells (t8, tprol)"
blood,"proliferating t cells (t8, tprol)"
pbmcs,myeloid cells
pbmcs,myeloid cells
pbmcs,myeloid cells
pbmcs,nk and t cells
pbmcs,nk and t cells
pbmcs,nk and t cells
pbmcs,nk and t cells
pbmcs,b cells
pbmcs,naïve b cells (b1)
pbmcs,naïve b cells (b1)
pbmcs,naïve b cells (b1)
pbmcs,naïve b cells (b1)
pbmcs,naïve b cells (b1)
pbmcs,naïve b cells (b1)
pbmcs,memory b cells (b2)
pbmcs,memory b cells (b2)
pbmcs,memory b cells (b2)
pbmcs,immature b cells (b3)
pbmcs,immature b cells (b3)
pbmcs,plasma cells (b4)
pbmcs,plasma cells (b4)
peripheral blood,classical cd14++ monocytes
peripheral blood,non-classical cd16++ (fcgr3a) cd14-/+ monocytes
peripheral blood,cd1c+ cdc2
peripheral blood,clec9a+ cdc1
peripheral blood,pdc (clec4c+cd123+)
peripheral blood,myeloid cells
blood,inflammatory monocyte
peripheral blood,naïve b cells
peripheral blood,naïve b cells
peripheral blood,memory b cells
peripheral blood,memory b cells
peripheral blood,immature b cells
peripheral blood,plasma cells
skin,dermal dcs
skin,cd1a+ cells
skin,dendritic cell (cd1a+)
skin,dendritic cell (itgax+)
peripheral blood,cd3+ t cell
peripheral blood,cd3+ t cell
peripheral blood,cd8+ t cell
peripheral blood,cd8+ t cell
peripheral blood,b cell
peripheral blood,cd14 monocyte
peripheral blood,nk cell
trabecular meshwork,tm cells
trabecular meshwork,tm cells
trabecular meshwork,tm cells
trabecular meshwork,tm cells
trabecular meshwork,schwann cell-like clusters
trabecular meshwork,schwann cell-like clusters
trabecular meshwork,tm1 fibroblast cell cluster
trabecular meshwork,tm1 fibroblast cell cluster
ciliary muscle,smooth muscle cluster
trabecular meshwork,tm2 and smooth muscle cluster
trabecular meshwork,lymphatic-like endothelial cell cluster
trabecular meshwork,lymphatic-like endothelial cell cluster
trabecular meshwork,lymphatic-like endothelial cell cluster
conventional outflow tract,tm2 and tm1 cell clusters
conventional outflow tract,all cell clusters (more preference for tm1 and tm2)
conventional outflow tract,tm2 and smooth muscle cell clusters
conventional outflow tract,"all cell clusters (more preference for schwann cell-like, tm2, smooth muscle cell, melanocyte, and myelinating schwann cell clusters)"
conventional outflow tract,"lymphatic-like and vascular endothelial and schwann cell-like cell clusters, with some tm1 and tm2 expression"
conventional outflow tract,tm1 and tm2 cell clusters
conventional outflow tract,tm cells
conventional outflow tract,lymphatic-like and vascular endothelial cell clusters
conventional outflow tract,lymphatic-like and vascular endothelial cell clusters
conventional outflow tract,tm
conventional outflow tract,sc
eye,tm1 and tm2 cells (with preference for jct (tm1 cells))
eye,schlemm's canal (sc) and neighboring endothelial-lined vessels
eye,ciliary muscle
eye,lymphatic endothelial cells
eye,lymphatic endothelial cells
eye,trabecular meshwork
eye,junctional region and schlemm's canal
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,scleral spur and ciliary muscle cells
eye,tm2-myofibroblast cell cluster
eye,tm2-myofibroblast cell cluster
eye,tm1-fibroblast cell cluster
eye,tm1-fibroblast cell cluster
eye,lymphatic-like endothelial cell cluster
eye,tm1 and tm2 cell clusters
eye,tm1 and tm2 cell clusters
eye,tm1 and tm2 cell clusters
eye,tm1 and tm2 cell clusters
eye,tm1 and tm2 cell clusters
eye,"lymphatic-like and vascular endothelial cell clusters (i.e., sc)"
eye,"lymphatic-like and vascular endothelial cell clusters (i.e., sc)"
eye,"lymphatic-like and vascular endothelial cell clusters (i.e., sc)"
eye,"lymphatic-like and vascular endothelial cell clusters (i.e., sc)"
eye,"lymphatic-like and vascular endothelial cell clusters (i.e., sc)"
eye,"lymphatic-like and vascular endothelial cell clusters (i.e., sc)"
eye,tm2 cell cluster
gastric mucosa,chief cell
gastric mucosa,chief cell
gastric mucosa,immune-related cell
gastric mucosa,immune-related cell
gastric tissue,epithelial cell
gastric tissue,epithelial cell
gastric tissue,epithelial cell
gastric tissue,parietal cell
gastric tissue,endocrine cell
gastric tissue,b cell
gastric tissue,b cell
gastric tissue,t cell
gastric tissue,t cell
gastric tissue,t cell
gastric tissue,macrophage
gastric tissue,mast cell
gastric tissue,fibroblast
gastric tissue,fibroblast
gastric tissue,endotheliocyte
gastric tissue,endotheliocyte
gastric tissue,malignant epithelial cell
gastric tissue,malignant epithelial cell
gastric tissue,malignant epithelial cell
gastric tissue,malignant epithelial cell
gastric tissue,non-malignant epithelial cell
gastric tissue,non-malignant epithelial cell
gastric tissue,non-malignant epithelial cell
gastric tissue,non-malignant epithelial cell
stomach,surface cells
stomach,surface cells
stomach,surface cells
stomach,chief cells
stomach,chief cells
stomach,chief cells
stomach,mucous neck cells
stomach,mucous neck cells
stomach,metaplasia cells
stomach,metaplasia cells
stomach,metaplasia cells
stomach,metaplasia cells
gastric tumor,c2 (small intestine-like)
gastric tumor,c2 (small intestine-like)
gastric tumor,c1 (gastric epithelial-like)
gastric tumor,c1 (gastric epithelial-like)
gastric tumor,c4 (chief cell-like)
gastric tumor,c4 (chief cell-like)
gastric tumor,c4 (chief cell-like)
stomach gland,ga-fg-ccp cells
stomach gland,ga-fg-ccp cells
intestinal-type gastric adenocarcinoma,ga-fg-ccp cells
gastric tissue,ebv+ malignant cells
gastric tissue,ebv+ malignant cells
gastric tissue,ebv+ malignant cells
gastric adenocarcinoma,immune cell
gastric adenocarcinoma,immune cell
gastric adenocarcinoma,tumor cell
gastric adenocarcinoma,immune cell
gastric adenocarcinoma,immune cell
gastric adenocarcinoma,tumor cell
yolk sac,progenitors
yolk sac,progenitors
yolk sac,progenitors
yolk sac,progenitors
fetal liver,hscs/mpps
agm region,naïve progenitors
agm region,naïve progenitors
fetal liver,hscs/mpps
esophageal tissue,fibroblast
esophageal tissue,fibroblast
esophagus,cd8+ t cell
esophagus,cd4+ t cell
esophagus,regulatory t cell
esophagus,effector t-helper type 2 cell
esophagus,effector t-helper type 2 cell
esophagus,t cell
esophagus,cd8+ interferon gamma–expressing cell
esophagus,fibroblast
esophagus,fibroblast
esophagus,myofibroblast
esophagus,eosinophil
esophagus,fibroblast
esophagus,fibroblast
esophagus,inflammatory fibroblast
esophagus,inflammatory fibroblast
esophagus,inflammatory fibroblast
esophagus,inflammatory fibroblast
esophagus,inflammatory fibroblast
esophagus,inflammatory fibroblast
esophagus,inflammatory fibroblast
esophagus,inflammatory fibroblast
esophagus,myofibroblast
esophagus,myofibroblast
esophagus,myofibroblast
esophagus,myofibroblast
esophagus,myofibroblast
esophagus,inflammatory fibroblast
esophagus,myofibroblast
esophagus,t cell
esophagus,t cell
esophagus,fibroblast
esophagus,fibroblast
esophagus,fibroblast
esophagus,fibroblast
esophagus,fibroblast
splanchnic mesenchyme-like lineages,smooth muscle (sm)
splanchnic mesenchyme-like lineages,smooth muscle (sm)
splanchnic mesenchyme-like lineages,smooth muscle (sm)
splanchnic mesenchyme-like lineages,smooth muscle (sm)
choroid,mhcii+cd11c-
choroid,mhcii+cd11c+
choroid,mhcii+cd11c− macrophages
choroid,mhcii+cd11c+ macrophages
choroid,mhcii+cd11c− macrophages
choroid,mhcii+cd11c+ macrophages
rpe-choroid,macrophage
rpe-choroid,macrophage
rpe-choroid,macrophage
rpe-choroid,macrophage
rpe-choroid,macrophage
rpe-choroid,macrophage
rpe-choroid,effector nk/t cells
rpe-choroid,effector nk/t cells
rpe-choroid,effector nk/t cells
rpe-choroid,b cells
rpe-choroid,mast cells
rpe-choroid,mast cells
rpe-choroid,macrophage
rpe-choroid,macrophage
choroid,mhcii+cd11c- macrophage
choroid,mhcii+cd11c+ macrophage
tumor,t cell
tumor,t cell
tumor,b cell
tumor,b cell
tumor,b cell
tumor,plasma cell
tumor,plasma cell
tumor,plasma cell
tumor,nk cell
tumor,nk cell
tumor,nk cell
tumor,monocyte/macrophage
tumor,monocyte/macrophage
tumor,monocyte/macrophage
tumor,monocyte/macrophage
tumor,monocyte/macrophage
tumor,monocyte/macrophage
tumor,mdc (myeloid dendritic cell)
tumor,pdc (plasmacytoid dendritic cell)
tumor,mast cell
tumor,mast cell
tumor,mast cell
escc (esophageal squamous cell carcinoma) tissue,cd4+cd25hifoxp3+ tregs
escc (esophageal squamous cell carcinoma) tissue,cd8 t cells
escc (esophageal squamous cell carcinoma) tissue,nk cells
escc (esophageal squamous cell carcinoma) tissue,tregs
escc (esophageal squamous cell carcinoma) tissue,tregs
escc (esophageal squamous cell carcinoma) tissue,tregs
esophageal tissue,treg
esophageal tissue,treg
esophageal tissue,treg
esophageal tissue,treg
esophageal tissue,macrophage
esophageal tissue,m2 macrophage
esophageal tissue,m2 macrophage
hepatocellular carcinoma,macrophage (m4-c1-thbs1)
hepatocellular carcinoma,mdsc (mdsc-c1-c1qc)
hepatocellular carcinoma,mdsc (mdsc-c2-apoe)
hepatocellular carcinoma,macrophage (m4-c2-c1qa)
esophageal squamous cell carcinoma (escc),macrophage (macro-c3-csf1)
tumor microenvironment (tme),cdc1
tumor microenvironment (tme),cdc2
tumor microenvironment (tme),lamp3+ dc
tumor microenvironment (tme),monocyte-derived dc
tumor microenvironment (tme),tregs
tumor microenvironment (tme),tams
escc tumor and adjacent tissues,dc cells
escc tumor and adjacent tissues,dc cells
escc tumor and adjacent tissues,dc cells
escc tumor and adjacent tissues,dc cells
escc tumor and adjacent tissues,dc cells
escc tumor and adjacent tissues,dc cells
escc tumor and adjacent tissues,treg cells
escc tumor and adjacent tissues,macrophages
escc tumor and adjacent tissues,macrophages
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
eye,rpe cell
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retinal pigment epithelium,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retina,rpe (retinal pigment epithelium) cell
retinal pigment epithelium,aged 5
retinal pigment epithelium,aged 5
retinal pigment epithelium,aged 5
retinal pigment epithelium,aged 5
retinal pigment epithelium,aged 5
retinal pigment epithelium,aged 5
retinal pigment epithelium,aged 2
retinal pigment epithelium,aged 2
retinal pigment epithelium,aged 3
retinal pigment epithelium,aged 3
retinal pigment epithelium,aged 3
retinal pigment epithelium,aged 3
retinal pigment epithelium,aged 4
retinal pigment epithelium,"aged 2, 3, 4"
retinal pigment epithelium,"aged 2, 3"
retinal pigment epithelium,"aged 2, 3, 4"
retinal pigment epithelium,"aged 2, 3, 4"
retinal pigment epithelium,"aged 2, 3, 4"
retinal pigment epithelium,"aged 2, 3, 4"
retinal pigment epithelium,"aged 2, 3, 4"
retinal pigment epithelium (rpe),immature subpopulation young 3
retinal pigment epithelium (rpe),immature subpopulation young 3
retinal pigment epithelium (rpe),immature subpopulation young 3
retinal pigment epithelium (rpe),immature subpopulation young 3
retinal pigment epithelium (rpe),immature subpopulation young 3
retinal pigment epithelium (rpe),immature subpopulation young 3
retinal pigment epithelium (rpe),subpopulation aged 3
retinal pigment epithelium (rpe),all subpopulations
retinal pigment epithelium (rpe),"subpopulations common 5 and 6, all aged subpopulations"
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cells
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
"head and neck cancer, cervical cancer, and ovarian cancer",cd4 tumor-infiltrating lymphocyte (til)
"head and neck cancer, cervical cancer, and ovarian cancer",cd4 tumor-infiltrating lymphocyte (til)
"head and neck cancer, cervical cancer, and ovarian cancer",cd4 tumor-infiltrating lymphocyte (til)
"head and neck cancer, cervical cancer, and ovarian cancer",cd4 tumor-infiltrating lymphocyte (til)
"head and neck cancer, cervical cancer, and ovarian cancer",cd4 tumor-infiltrating lymphocyte (til)
"head and neck cancer, cervical cancer, and ovarian cancer",cd4 tumor-infiltrating lymphocyte (til)
"head and neck cancer, cervical cancer, and ovarian cancer",cd4 tumor-infiltrating lymphocyte (til)
tumor,cd8 tils
tumor,cd8 tils
tumor,cd8 tils
tumor,cd8 tils
tumor,cd8 tils
tumor,cd4 tconv tils
tumor,cd4 tconv tils
tumor,cd4 tconv tils
tumor,cd4 tconv tils
tumor,cd4 tconv tils
head and neck tumor,cd4 tconv tils
head and neck tumor,cd4 tconv tils
head and neck tumor,cd4 tconv tils
head and neck tumor,cd4 tconv tils
head and neck tumor,cd4 tconv tils
tumor,conventional foxp3- cd4 t cells (tconvs)
tumor,conventional foxp3- cd4 t cells (tconvs)
tumor,conventional foxp3- cd4 t cells (tconvs)
tumor,conventional foxp3- cd4 t cells (tconvs)
tumor,conventional foxp3- cd4 t cells (tconvs)
tumor,conventional foxp3- cd4 t cells (tconvs)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1-)
head and neck cancer,cd4 tconvs (entpd1-)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
head and neck cancer,cd4 tconvs (entpd1+)
ovarian cancer,cd4 tconv tils
ovarian cancer,cd4 tconv tils
tumor,cd8 tils
tumor,cd8 tils
tumor,cd8 tils
tumor,cd4 tils
tumor,cd4 tils
tumor,cd4 tils
tumor,cd8 tils
tumor,cd8 tils
tumor,cd8 tils
tumor,cd4 tils
tumor,cd4 tils
tumor,cd4 tils
tumor,cd8 tils
tumor,cd8 tils
tumor,cd8 tils
tumor,cd4 tils
tumor,cd4 tils
tumor,cd4 tils
tumor,cd4+ t cell
tumor,cd8+ t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,t cell
tumor,cd4+ tils
tumor,cd4+ tils
retina,rod photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,photoreceptor
retina,photoreceptor
retinal organoids,rod photoreceptor
retinal organoids,rod photoreceptor
retinal organoids,cone photoreceptor
retinal organoids,cone photoreceptor
retinal organoids,photoreceptor
retinal organoids,photoreceptor
retinal organoids,rod photoreceptor
retinal organoids,cone photoreceptor
retinal organoids,photoreceptor cells
retinal organoids,cone photoreceptor cells
retinal organoids,cone photoreceptor cells
retinal organoids,photoreceptor cells
retinal organoids,photoreceptor cells
retinal organoids,photoreceptor cells
retinal organoids,photoreceptor cells
retinal organoids,rod photoreceptor cells
retinal organoids,rod photoreceptor cells
retinal organoids,cone photoreceptor cells
retinal organoids,cone photoreceptor cells
retinal organoids,rod photoreceptor cells
retinal organoids,cone photoreceptor cells
tumor,mast cells
tumor,mast cells
tumor,cdcs (conventional dendritic cells)
hepatocellular carcinoma,cdcs
multiple tissues,resident tissue macrophages (rtms)
colon cancer,tams
hepatocellular carcinoma,tams
uterus,mast cell
uterus,mast cell
thyroid tumor,mast cell
