ori_tissue,ori_cell_type,search_result
spleen,mait-like cell,"organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells"
spleen,mait-like cell,"organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells"
spleen,t follicular helper(tfh) cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=thymus, cell_ontology_class=t follicular helper cell, free_annotation=t follicular helper cell-like; organ_tissue=spleen, cell_ontology_class=type i nk t cell, free_annotation=type i nk t cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell"
spleen,dividing cell,"organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cell"
spleen,immune cell,"organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=spleen, cell_ontology_class=innate lymphoid cell, free_annotation=innate lymphoid cells; organ_tissue=spleen, cell_ontology_class=innate lymphoid cell, free_annotation=innate lymphoid cell; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocyte"
spleen,γ δ t cell,"organ_tissue=spleen, cell_ontology_class=type i nk t cell, free_annotation=type i nk t cell; organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell"
spleen,monocyte,"organ_tissue=spleen, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=spleen, cell_ontology_class=classical monocyte, free_annotation=classical monocyte; organ_tissue=spleen, cell_ontology_class=intermediate monocyte, free_annotation=intermediate monocyte; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocyte"
spleen,cd8+ t cell,"organ_tissue=spleen, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=spleen, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=spleen, cell_ontology_class=cd8-positive, alpha-beta memory t cell, free_annotation=cd8-positive memory t cell; organ_tissue=spleen, cell_ontology_class=naive thymus-derived cd8-positive, alpha-beta t cell, free_annotation=naive cd8-positive t cell; organ_tissue=blood, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell"
spleen,mantle b cell,"organ_tissue=spleen, cell_ontology_class=naive b cell, free_annotation=naive b cell; organ_tissue=spleen, cell_ontology_class=memory b cell, free_annotation=memory b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cells; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b_cells"
spleen,γ δ t cell,"organ_tissue=spleen, cell_ontology_class=type i nk t cell, free_annotation=type i nk t cell; organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell"
spleen,follicular b cell,"organ_tissue=spleen, cell_ontology_class=naive b cell, free_annotation=naive b cell; organ_tissue=spleen, cell_ontology_class=memory b cell, free_annotation=memory b cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial"
spleen,dividing cell,"organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cell"
spleen,conventional dendritic cell 1(cdc1),"organ_tissue=spleen, cell_ontology_class=cd1c-positive myeloid dendritic cell, free_annotation=cd1c-positive myeloid dendritic cell; organ_tissue=spleen, cell_ontology_class=plasmacytoid dendritic cell, free_annotation=plasmacytoid dendritic cell; organ_tissue=spleen, cell_ontology_class=cd141-positive myeloid dendritic cell, free_annotation=cd141-positive myeloid dendritic cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=enodthelial cell"
spleen,dividing cell,"organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cell"
spleen,cytotoxic t cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=spleen, cell_ontology_class=type i nk t cell, free_annotation=type i nk t cell; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=spleen, cell_ontology_class=type i nk t cell, free_annotation=nk t cell"
spleen,b cell,"organ_tissue=spleen, cell_ontology_class=naive b cell, free_annotation=naive b cell; organ_tissue=spleen, cell_ontology_class=memory b cell, free_annotation=memory b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cells; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells"
spleen,cd8+ t cell,"organ_tissue=spleen, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=spleen, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=spleen, cell_ontology_class=cd8-positive, alpha-beta memory t cell, free_annotation=cd8-positive memory t cell; organ_tissue=spleen, cell_ontology_class=naive thymus-derived cd8-positive, alpha-beta t cell, free_annotation=naive cd8-positive t cell; organ_tissue=blood, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell"
spleen,conventional dendritic cell 1(cdc1),"organ_tissue=spleen, cell_ontology_class=cd1c-positive myeloid dendritic cell, free_annotation=cd1c-positive myeloid dendritic cell; organ_tissue=spleen, cell_ontology_class=plasmacytoid dendritic cell, free_annotation=plasmacytoid dendritic cell; organ_tissue=spleen, cell_ontology_class=cd141-positive myeloid dendritic cell, free_annotation=cd141-positive myeloid dendritic cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=enodthelial cell"
spleen,mantle b cell,"organ_tissue=spleen, cell_ontology_class=naive b cell, free_annotation=naive b cell; organ_tissue=spleen, cell_ontology_class=memory b cell, free_annotation=memory b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cells; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b_cells"
spleen,cytotoxic t cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=spleen, cell_ontology_class=type i nk t cell, free_annotation=type i nk t cell; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=spleen, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=spleen, cell_ontology_class=type i nk t cell, free_annotation=nk t cell"
spleen,activated dendritic cell,"organ_tissue=spleen, cell_ontology_class=plasmacytoid dendritic cell, free_annotation=plasmacytoid dendritic cell; organ_tissue=spleen, cell_ontology_class=cd1c-positive myeloid dendritic cell, free_annotation=cd1c-positive myeloid dendritic cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial"
spleen,b cell,"organ_tissue=spleen, cell_ontology_class=naive b cell, free_annotation=naive b cell; organ_tissue=spleen, cell_ontology_class=memory b cell, free_annotation=memory b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cells; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells"
spleen,naïve cell,"organ_tissue=spleen, cell_ontology_class=naive b cell, free_annotation=naive b cell; organ_tissue=spleen, cell_ontology_class=neutrophil, free_annotation=neutrophil; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=spleen, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cell"
spleen,b cell,"organ_tissue=spleen, cell_ontology_class=naive b cell, free_annotation=naive b cell; organ_tissue=spleen, cell_ontology_class=memory b cell, free_annotation=memory b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cell; organ_tissue=kidney, cell_ontology_class=b cell, free_annotation=b cells; organ_tissue=spleen, cell_ontology_class=plasma cell, free_annotation=plasma cells"
spleen,cd8+ t cell,"organ_tissue=spleen, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=spleen, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=spleen, cell_ontology_class=cd8-positive, alpha-beta memory t cell, free_annotation=cd8-positive memory t cell; organ_tissue=spleen, cell_ontology_class=naive thymus-derived cd8-positive, alpha-beta t cell, free_annotation=naive cd8-positive t cell; organ_tissue=blood, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell"
eye,cd8+ t cell,"organ_tissue=eye, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=eye, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t_cells"
retina,rod cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells"
retina,neuron,"organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium"
retina,later-stage progenitor cell,"organ_tissue=eye, cell_ontology_class=radial glial cell, free_annotation=radial glia progenitor cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium"
retina,glial cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=radial glial cell, free_annotation=radial glia progenitor cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=muller cell, free_annotation=retina - muller glia; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells"
retina,forebrain cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium"
retina,glial cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=radial glial cell, free_annotation=radial glia progenitor cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=muller cell, free_annotation=retina - muller glia; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells"
retina,neuron,"organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium"
retina,forebrain cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium"
retina,progenitor cell,"organ_tissue=eye, cell_ontology_class=radial glial cell, free_annotation=radial glia progenitor cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=blood, cell_ontology_class=myeloid progenitor, free_annotation=myeloid progenitor"
retina,later-stage progenitor cell,"organ_tissue=eye, cell_ontology_class=radial glial cell, free_annotation=radial glia progenitor cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium"
retina,photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells"
retina,bipolar cell,"organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=b cell, free_annotation=b cells"
retina,t helper 1(th1) cell,"organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells"
retina,bipolar cell,"organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=b cell, free_annotation=b cells"
retina,bipolar cell,"organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=b cell, free_annotation=b cells"
retina,bipolar cell,"organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=b cell, free_annotation=b cells"
retina,neuron,"organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium"
retina,neuron,"organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium"
retina,progenitor cell,"organ_tissue=eye, cell_ontology_class=radial glial cell, free_annotation=radial glia progenitor cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=blood, cell_ontology_class=myeloid progenitor, free_annotation=myeloid progenitor"
retina,ganglion cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells"
retina,photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells"
stomach,naïve or central memory  t cell,"organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=liver, cell_ontology_class=t cell, free_annotation=t cell"
stomach,cytotoxic cell,"organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast_cells; organ_tissue=fat, cell_ontology_class=endothelial cell, free_annotation=endothelial cell"
stomach,cd8 t cell,"organ_tissue=small_intestine, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=large_intestine, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=trachea, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=lung, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=small_intestine, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell"
stomach,fibroblast,"organ_tissue=fat, cell_ontology_class=fibroblast, free_annotation=fibroblast; organ_tissue=fat, cell_ontology_class=fibroblast, free_annotation=fibroblasts; organ_tissue=liver, cell_ontology_class=fibroblast, free_annotation=fibroblasts; organ_tissue=liver, cell_ontology_class=fibroblast, free_annotation=fibroblast; organ_tissue=large_intestine, cell_ontology_class=fibroblast, free_annotation=fibroblasts"
stomach,cytotoxic cell,"organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast_cells; organ_tissue=fat, cell_ontology_class=endothelial cell, free_annotation=endothelial cell"
stomach,cd8 t cell,"organ_tissue=small_intestine, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=large_intestine, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=trachea, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=lung, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd8 t cell; organ_tissue=small_intestine, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell"
stomach,smooth muscle cell,"organ_tissue=fat, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cells; organ_tissue=muscle, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cells; organ_tissue=fat, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cell; organ_tissue=muscle, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cell; organ_tissue=fat, cell_ontology_class=smooth muscle cell, free_annotation=smooth_muscle_cells"
stomach,gastric neuroendocrine cell,"organ_tissue=large_intestine, cell_ontology_class=intestinal enteroendocrine cell, free_annotation=intestinal enteroendocrine cell; organ_tissue=small_intestine, cell_ontology_class=intestinal enteroendocrine cell, free_annotation=intestinal enteroendocrine cell; organ_tissue=small_intestine, cell_ontology_class=gut endothelial cell, free_annotation=gut endothelial cell; organ_tissue=large_intestine, cell_ontology_class=gut endothelial cell, free_annotation=gut endothelial cell; organ_tissue=pancreas, cell_ontology_class=endothelial cell, free_annotation=endothelium"
stomach,endothelial cell,"organ_tissue=fat, cell_ontology_class=endothelial cell, free_annotation=endothelial; organ_tissue=fat, cell_ontology_class=endothelial cell, free_annotation=endothelial cells; organ_tissue=fat, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=fat, cell_ontology_class=endothelial cell, free_annotation=endothelial_cells; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial"
stomach,fibroblast,"organ_tissue=fat, cell_ontology_class=fibroblast, free_annotation=fibroblast; organ_tissue=fat, cell_ontology_class=fibroblast, free_annotation=fibroblasts; organ_tissue=liver, cell_ontology_class=fibroblast, free_annotation=fibroblasts; organ_tissue=liver, cell_ontology_class=fibroblast, free_annotation=fibroblast; organ_tissue=large_intestine, cell_ontology_class=fibroblast, free_annotation=fibroblasts"
stomach,macrophage,"organ_tissue=fat, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=liver, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=liver, cell_ontology_class=macrophage, free_annotation=macrophages"
stomach,cytotoxic cell,"organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast_cells; organ_tissue=fat, cell_ontology_class=endothelial cell, free_annotation=endothelial cell"
stomach,cytotoxic cell,"organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast_cells; organ_tissue=fat, cell_ontology_class=endothelial cell, free_annotation=endothelial cell"
stomach,intestinal epithelial cell,"organ_tissue=small_intestine, cell_ontology_class=intestinal enteroendocrine cell, free_annotation=intestinal enteroendocrine cell; organ_tissue=large_intestine, cell_ontology_class=intestinal enteroendocrine cell, free_annotation=intestinal enteroendocrine cell; organ_tissue=small_intestine, cell_ontology_class=gut endothelial cell, free_annotation=gut endothelial cell; organ_tissue=large_intestine, cell_ontology_class=gut endothelial cell, free_annotation=gut endothelial cell; organ_tissue=small_intestine, cell_ontology_class=mast cell, free_annotation=mast cell"
