marker,in_mygene
COL1A1/2,FALSE
COL5A1/2,FALSE
COL6A1/2/3,FALSE
VEGFR1/2/3,FALSE
CD45,FALSE
CD8,FALSE
CD45,FALSE
CD8,FALSE
OPSINs,FALSE
Ki-67,FALSE
PKCA,FALSE
Pattern 17,FALSE
Ribosomal genes,FALSE
SREBP2,FALSE
IL3RA/CD123,FALSE
CLEC4C/CD303,FALSE
CD8,FALSE
SDC1/CD138,FALSE
BDCA-1/CD1c,FALSE
S100A8/S100A9,FALSE
BDCA-1/CD1c,FALSE
S100A8/S100A9,FALSE
NeuN,FALSE
SMA,FALSE
CD45,FALSE
CD206,FALSE
MHC class II antigens (I-A/I-E),FALSE
PU.1,FALSE
NeuN,FALSE
OTX,FALSE
PKC-¦Á,FALSE
Recoverin,FALSE
ZO-1,FALSE
BEST1::EGFP,FALSE
ZO-1,FALSE
BEST1::EGFP,FALSE
RPE genes,FALSE
SERPINF1 (PEDF),FALSE
VEGFA (VEGF),FALSE
fibroblastic genes,FALSE
mitochondrial genes (percent.mt),FALSE
important RPE genes,FALSE
STEM121,FALSE
Nkx2.1,FALSE
Nkx2.1,FALSE
Nkx2.1,FALSE
Trp63,FALSE
Hbb-bt,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
CD104,FALSE
Ki-67,FALSE
CD73,FALSE
CD104,FALSE
Ki-67,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
CD73,FALSE
CD104,FALSE
CD104,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
Cytokeratin 15,FALSE
CD73,FALSE
CD104,FALSE
a6 integrin,FALSE
CD71,FALSE
CD73,FALSE
CD104,FALSE
Ki-67,FALSE
CD73,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
CD104,FALSE
CD73,FALSE
Itg-b4,FALSE
Ki-67,FALSE
STAT6 (phospho Y641),FALSE
CD104,FALSE
CD73,FALSE
CD104,FALSE
CD45,FALSE
CD73,FALSE
CD104,FALSE
CD166,FALSE
Interleukin-11 (IL-11),FALSE
IL-11,FALSE
ZO-1,FALSE
Thy1/CD90,FALSE
Ccnd5,FALSE
Fgf15,FALSE
Dmrbt1,FALSE
Thy1 (CD90),FALSE
C1qa-c,FALSE
Fgf15,FALSE
Fgf15,FALSE
APRC1B,FALSE
CD3,FALSE
CD8,FALSE
IFN-g,FALSE
Granzyme B,FALSE
Granzyme A,FALSE
and HLA-C,FALSE
HLA-DR,FALSE
HLA-DQ,FALSE
IL-10,FALSE
TGF-b1,FALSE
Perforin 1,FALSE
IL-32,FALSE
HLA subtypes,FALSE
IFN-g,FALSE
Granzyme A,FALSE
Granzyme B,FALSE
Perforin 1,FALSE
IL-32,FALSE
Lamp1/2,FALSE
FCGR2A/B,FALSE
CD8,FALSE
IL4l1,FALSE
IL-15,FALSE
IL-23A,FALSE
HLA-DQA,FALSE
HLA-DPA,FALSE
HLA-DPB,FALSE
CD56bright/CD16neg,FALSE
Osteopontin,FALSE
CD45,FALSE
CD3,FALSE
CD56,FALSE
OPN,FALSE
CD45,FALSE
CD3,FALSE
CD56,FALSE
CAP3,FALSE
CD11b,FALSE
F4/80,FALSE
IBA1,FALSE
CD206,FALSE
Ym1,FALSE
IL-1b,FALSE
IL-6,FALSE
TNF-a,FALSE
iNOS,FALSE
C1q complement proteins,FALSE
arginase-1,FALSE
CD206,FALSE
IGF-1,FALSE
MHC-II,FALSE
Ym1,FALSE
Brn3a,FALSE
TNF-a,FALSE
IL-1b,FALSE
CD32,FALSE
IL-10,FALSE
TGF-b,FALSE
CD11b,FALSE
CD45,FALSE
F4/80,FALSE
IBA-1,FALSE
Cd209a,FALSE
IL-13,FALSE
FASCIN1,FALSE
Class 2 antigens,FALSE
Retnla,FALSE
Chil3,FALSE
Il17,FALSE
Itgae (CD103),FALSE
CD8,FALSE
Mrc1 (CD206),FALSE
Il4ra1,FALSE
H2-Ab1,FALSE
FASCIN,FALSE
CD209a,FALSE
MHCII,FALSE
SERPIN B2,FALSE
ADGRE1-F4/80,FALSE
IL-5,FALSE
IL-13,FALSE
WGA lectin,FALSE
RETNLA,FALSE
MHC-II,FALSE
LYVE-1,FALSE
Adgre (F4/80),FALSE
Fascn1,FALSE
Cd209a,FALSE
IL4ra,FALSE
RXR¦Á,FALSE
IL-13,FALSE
Il-17,FALSE
MHCII,FALSE
CD209a,FALSE
MHCII,FALSE
MHCII,FALSE
CD209a,FALSE
MHCII,FALSE
ADGRE1 (F4/80),FALSE
IL-13,FALSE
IL-5,FALSE
Trp63,FALSE
Lor,FALSE
Integrin ¦Â4,FALSE
CD73,FALSE
Integrin a6,FALSE
CD71,FALSE
